My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you havenâ€™t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
An End User company (not involved in direct monetization of CNCF projects),Istio,No,,Yes,,Strongly agree,,Strongly agree,,Strongly agree,,8,,Strongly agree,,9,,8,,"CNCF co-located events, service desk","Have not yet, may be was not confident enough, to move beyond Istio.","It looks good as of now, many things to do as we just finished our graduation. Need to see if things slow down after a year or so","Support female members one to one, to gain more visibility beyond the project, and see possible opportunities under the CNCF governance",
A vendor of cloud technology,Piraeus Datastore,No,,No,,6,,7,,5,,6,,6,,3,,6,,-,-,-,-,
A vendor of cloud technology,Strimzi,No,,Yes,"Kubernetes, Prometheus, OpenTelemetry, OPA, Jaeger",8,,6,,Strongly agree,,7,,6,,6,,5,,The CI/CD pipeline provided on Azure,"We applied moving from sandbox to incubation one year ago. Since then, two TOC sponsors changed to support it but really nothing moving forward.","The requirements are fine, the process is slow (or nothing)",N/A,
A vendor of cloud technology,Clusternet,No,,Yes,Kube-ovn,Strongly agree,,Strongly agree,,Strongly agree,,9,,8,,9,,9,,"Submariner, for now.",Haven't applied. We will apply when it is more productive.,More usecases in production More feedbacks from user's real PROD ENV.,NA,NA
A vendor of cloud technology,Vitess,No,,No,,Strongly agree,CNCF is often helping us when we have questions or issues. We also benefit from more structure and PR thanks to CNCF.,Strongly agree,We have been receiving great support especially for blog posts and for allowing us to speak at KubeCon.,8,,4,,4,,Strongly agree,,N/A,,The maintainer talk at KubeCon.,"Despite my interest, I am not sure how it works.",N/A,N/A,
An End User company (not involved in direct monetization of CNCF projects),Armada,No,,No,,9,"Large community, good reputation.",7,"We need to make better use of the benefits of CNCF membership, like contributing articles and having social media posts promoted, but it's not always straightforward.",8,,7,,Strongly agree,,9,,N/A,,KubeCon kiosk for Sandbox projects.,Have 1 adopter and working to get more adopters before apply to move levels.,Sometimes vague specifics but process is clear.,N/A,
A vendor of cloud technology,"SPIFFE, SPIRE",No,,Yes,"Lots .. kubernetes, grpc, envoy, istio, opa, etc",9,"Neutral home that is supportive, bringing the resources needed to grow a sustainable oss project",7,,9,,7,,9,,3,"The biggest need here is usage data. Who is using the project, for what cases and at what scale. Terrible visibility into this right now. We know it's out there, but we have no way to measure it. It makes decision making very difficult.",Strongly agree,,"Legal help, project pavilion, SWAG","It was ok. Takes a while and is heavyweight. Move to incubation and later to graduation was delayed due to hesitancy around this (who drives the process, what's the time commit, etc)",I think the graduation bar should be higher. I find it strange that some projects which would ordinarily be graduate level enter CNCF as incubation (or that would ordinarily be incubation enter as sandbox).,Usage reporting. I want to know who is using the software. What features are being used. Etc. Even if it's anonymized it's still a huge win.,
A vendor of cloud technology,Kcp,No,,Yes,Kubernetes,6,We are new. For now still hard to understand value we get,3,We still new but we didn't seen much.,5,,8,,6,A lot of information and hard to consume when it's only side work,5,,5,,Exposure via cncf,N/a,N/a,N/a,Onboarding was but bumpy. By bumpy I mean we kinda were left alone ;)
A vendor of cloud technology,Kubernetes,No,,Yes,OpenTelemetry,7,"On positive side - it is not much overhead, and neutral place to be. I am not Strongly Agree mostly because there are already too many projects in CNCF. The incentive to accept more may lead to more overhead for everybody.",Strongly agree,,Strongly agree,"From the past experience, not current",Strongly agree,,Strongly agree,,Strongly agree,,N/A,,- events and marketing,N/A,N/A,- meetings management including uploading to YouTube. Too much pain to do it manually and even semi-manually,
A vendor of cloud technology,istio,Comments:,tag-network,Yes,Cilium,Strongly agree,,9,would love to see graduated projects get more than 1 talk for KubeCon!,Strongly agree,"Yes, CNCF has the best cloud native team!",6,"Not really, could be useful to have a webinar on this with some concrete examples.",9,I'm getting involved more with TAG and TOC which is why I have a good understanding now.,8,"DevStats are very useful, need to check out the other two tools - would love guildance on how to improve our project's scores.",Strongly agree,"Emily Fox has been amazing, other TOC members are also welcoming!",KubeCon IstioDay & maintainer speaking slot & project booth are all very helpful,NA,NA,"We are interested in more advocate opportunities for Istio. Our community doesn't know CNCF opportunities well, if there are ways we could learn what is avail and possible for graduated projects, that would be wonderful.",Love all you do and keep it up!
A vendor of cloud technology,KEDA,No,,No,,9,,8,,Strongly agree,,Strongly agree,,7,,Strongly agree,,N/A,,"HW, resources & services support",Overall the process is kind of a slow.,Not sure,Don't know,
A vendor of cloud technology,Buildpacks,No,,No,,Strongly agree,I think the platform and support provided by CNCF is great for any open source project,Strongly agree,,Strongly agree,I recently applied for KubeCon NA scholarship and all the process was really quick,N/A,"No really, I didn't check that",N/A,"Not really, I will check it out",Strongly agree,I checked some of the metrics for buildpacks and I think they are helpful,N/A,,Tools and Marketing!,"I joined buildpacks 2 years ago, and I've being just promoted to maintainer. We are starting the process for graduation, let's see how it goes.",I don't know a lot about it yet,Nothing now,
A vendor of cloud technology,Buildpacks Carvel,No,,Yes,"knative, Operator Framework, Helm, Flux, Argo, ArtifactHUB, TAG App Delivery, TAG Contributor Strategy, WG GitOps, WG Artifacts",5,It's good to be cut off from the origin company but CNCF is spread too thin to support the projects in the way it promises.,4,"Nearly everything we need always has a backlog and an insane wait time until they can get to us so it feels futile to even request assistance in marketing, website, tech docs, anything...",Strongly agree,Responds quickly but does not act or execute requests,7,,2,,8,,9,,N/A - I feel as though anytime we try to use the benefits we are told there's a very long wait so it's as if we don't even have benefits to use :/,N/A,N/A,I wish that it had enough resources to deliver the services it already claims to provide.,
A vendor of cloud technology,Flux,No,,Yes,"Helm, ArgoCD, KEDA",Strongly agree,"Through the support of the CNCF we have been able to grow Flux to a truly epic community and codebase, with the support of KubeCon and CDCon, event organizers as well as support staff and leadership",7,"We had an issue with the project meeting this year at KubeCon. Someone told all the support staff that these meetings were not open to the public. Who decided this? We usually get great engagement from Flux users at these meetups, this year we had zero attendees and we were being told repeatedly, leading up to the event and during the event, that this was done on purpose. Why!?",Strongly agree,"There is always a prompt response on any issue raised. Sometimes the damage done in the moment is irreparable. The project meetings at KubeCon this year have not been addressed at all, we need to turn it around completely for next year. There cannot be a repeat!",Strongly agree,,Strongly agree,CNCF support to acquire security audit and funding for test resources has been very helpful,8,"I'm not sure how valuable they are, to me I just work on the project. I have some stats projects of my own, and the security score shows something is wrong but I'm sure that can't be right ðŸ˜…)",N/A,,"The Flux booth at KubeCon in the Project Pavilion - get more focus on these! We are not sponsors and we know that we are here by the grace of the CNCF, but it really shows at the booth crawl in Chicago, where you have to walk as far away from the project pavilion as possible to get any food or drink. We staffed the project pavilion booth and in the end it would have made more sense to just participate in the booth crawl, because people really weren't coming around as much as other times of day. (I think there is talk of putting SIG-Boba on at the project pavilion, when the sponsors and vendors are all doing the booth crawl events? I'm for that!)",We are a graduated project,We have no substantial feedback about the graduation process at this time,The CNCF is a wonderful organization and I hope it can always support contributors through travel fund and kubecon scholarships!,"Please don't make project meetings private without consulting the project maintainers about whether that makes sense. We were totally blindsided by the closing up of the project meetings at KubeCon Chicago. This was not communicated effectively, we all came ready to present and were greeted with an empty room. Not an effective use of maintainers time."
A vendor of cloud technology,Strimzi,No,,Yes,,9,It aggregates a lot of mindful projects.,Strongly agree,"Yeah. Next year we are gonna have a Strimzi virtual conference, which is great.",6,,8,,9,,8,,8,,"I am creating an Open-source project, which has a meaning and a lot of active users.","Currently, we are in the Sandbox and moving to Incubating but the process from my perspective is slow due to multiple reasons.",I am not fully familiar with this because I was not involved in this process.,I don't have any in my mind now.,
A vendor of cloud technology,Paralus,No,,Yes,Cluster API,8,,8,,8,,8,,8,,8,,8,,"Project metrics provided by tools like DevStats, CLOMonitor",N/A,Satisfied with requirements,N/A,
A vendor of cloud technology,Strimzi,No,,Yes,,7,,8,,Strongly agree,,8,,7,,Strongly agree,,6,,Independent home for our project.,"I did not expect much, so I'm not completely disappointed. But it seems like not much is happening for a very long time and it is not really clear what can we do to help.","Honestly, I think it changed several times since we applied for incubation. So it is very confusing as to what are they now and how they apply.",n/a,
An End User company (not involved in direct monetization of CNCF projects),PipeCD,No,,No,,7,,N/A,,N/A,,5,"Iâ€™m a new member, so iâ€™m not sure which one to read",N/A,,N/A,,N/A,,iâ€™m not sure because iâ€™m a new member,iâ€™m not sure because iâ€™m a new member,"itâ€™s difficult now. the sandbox projects increase year by year, but only a few of them go to the incubating.",help for increasing contributors or adopters,
A vendor of cloud technology,Kubernetes kubeadm,Comments:,Only around some discussion and sandboxs applications(some projects from my company). I am also interested in WG AI.,Yes,"Containerd, Clusterpedia, HwameiStor, Merbridge and CoreDNS.",Strongly agree,,Strongly agree,only one complain about the twitter account(kubernetesio not active for more than half a year.).,Strongly agree,,Strongly agree,,Strongly agree,"I really appreciate the work. But for timezone reason, I rarely attend the toc meeting and tag meeting. This makes me harder to participate in the SIG. I would like to help more if there are some tasks/discussion in slack or issues. Currently most works are finished in meeting.",Strongly agree,,Strongly agree,,PROJECT PAVILION in kubecon China helps. The KCS support in Kubernetes Contributor Summit Shanghai 2023 is appreciated. Thanks.,K8s is already GAed.,"After graduation, I think only annual reports matter for the progress.",NA,"In Apache world, the PMC is a role to manage the project. In CNCF, there is no Steering related management rules. For instance, if we participate into some projects, we want a clear road to the committee,especially security committee."
An End User company (not involved in direct monetization of CNCF projects),PipeCD,No,,No,,Strongly agree,CNCF community members always helps us kindly.,Strongly agree,,7,,3,I know it just now because I joined as a maintainer of PipeCD recently,8,,Strongly agree,,N/A,I have not communicate with toc yet.,the advice for extending community from CNCF members,I have not experienced it yet because I'm a newcomer. But Our project joined as sandbox recently.,"Totally agree, but I want you to inform us more about how to move next level if possible.",Nothing,
A vendor of cloud technology,Harbor,No,,Yes,"Velero, ESO.",Strongly agree,,4,,4,,Strongly agree,,7,,Strongly agree,,N/A,,"webinars, technial support",yes it was great,fair,all good there,The projects should be the topic at events not corporations marketing
A vendor of cloud technology,k8up,No,,Yes,Kubernetes,7,,N/A,,N/A,,8,,8,,Strongly agree,,N/A,,Being part of a big community,Our project still needs time to mature,n/a,n/a,
A vendor of cloud technology,"etcd, Kubernetes metrics server",No,,No,,Strongly disagree,"Zero support to projects, no high level plan, accepting competing projects without any oversight, sells maintainer work to highest bigger to say whatever they want during keynotes",2,"Many escalations to CNCF brought zero results, we needed to migrate project to Kubernetes to get help https://docs.google.com/document/d/1tqjOxU7hhiQiUi_w6Fr5CWSCOzQIoc49kysB4bDx59o/edit?usp=sharing",Strongly disagree,It takes weeks to get anything done via support desk. Needed to escalated to CNCF CTO to get some things done,Strongly disagree,"No, any time I asked to help with CNCF programs, the answer I got that I need to setup everything myself. There is no difference vs public offerings for open source projects",Strongly disagree,"No, they don't talk to us, we don't talk to them. Don't understand reason to have a committee that doesn't talk with projects.",Strongly disagree,"No, they are hard to read and analyse.",N/A,,KubeCon talk oportunities and booth,"No, I personally regret etcd going to graduated status. Within a 2 years project was almost dead because of that.",Don't know.,"Help avoid maintainer burnout. Help reduce maintainer toil, by creating tools and processes that help grow the community.","Less random security reports, fuzz integrations, more talking with the project to understand their current needs."
A vendor of cloud technology,cert-manager,No,,Yes,"SPIFFE, Spire, Helm, Istio, Linkerd, Kyverno,",7,"There's a lot of value to be had, but there are some small issues which crop up",7,I believe there are plenty of resources out there and we love the security audit,4,We've been trying to sort an issue with a GCP project migration for a long time and we've generally struggled to get resposnes or to move forwards with it. For KubeCon stuff we can't fault the response times.,5,See comments for q10,4,"It's hard to know what's out there. We probably learn more about this stuff by informally chatting to people at KubeCon than we would ever discover otherwise, which is a shame as not everyone can attend KubeCon",5,"Generally they're fine, but the UX of the tools isn't the easiest thing.",N/A,I don't believe we've interacted with them,GCP support is generous - it's on us to use more of it. KubeCon booth is incredible and I think we use it well.,"So far, the process for graduation has been roughly as expected, because we learned a lot about it when we applied for incubation.",I think generally things seem reasonable.,"We're doing a lot of work to ensure cert-manager is vendor netural and we're fully dedicated to that. At the same time, it's getting harder to justify continuous investment in the project to people who often aren't as familiar with open source or who (justifiably) look for financial return on their investments of time and money. This seems an existential risk for projects like cert-manager - we have a fantastically wide variety of maintainers and contributors from many companies but the vast majority of day-to-day maintainer time is sponsored by one company (who pay several maintainers to work at least part time on the project). If that support dries up, someone else might step up - or it's entirely possible nobody would and the project could stagnate. I've heard this story from several other projects both within and outside of the CNCF. The gold standard would be to help pay, sponsor or provide connections for existing maintainers to become independent of any company. Having a truly netural maintainer who has little or minimal corporate involvement would be tremendous but is currently likely to be financially prohibitive for all currently active maintainers. Lots of people desperately want the project to succeed and to continue to succeed. Given the number of people who depend on cert-manager, I firmly believe that there should be sufficient finance out there to fund one or more dedicated full time independent maintainers. Being able to connect long term maintainers with in larger companies who might be willing to step up with financial support would be a lot of help.","Being able to give a project update as an incubating project in the KubeCon Chicago keynote was awesome! However, we intentionally omitted mentioning Venafi (who sponsor the vast majority of maintainer time) to try to stay independent and vendor netural. Several other projects quite gladly namedropped their companies alongside their project update. We don't want to do a sales pitch but we'd like to be on a level playing field - if some projects are namedropping, we'd like to do so as well. Otherwise we're fine leaving out the namedrop - as long as everyone else does! Consistency is key."
A vendor of cloud technology,Microcks,Yes,,Yes,"Keycloack, Backstage, CloudEvents, Tekton",9,,8,,7,Onboarding takes more time than expected (waiting for CNCF actions),6,Will need to dig further and engage on some points asap,9,,9,,7,Onboarding takes more time than expected (waiting for CNCF/TOC actions),"CNCF brand, learn and share with the community.",N/A currently,N/A currently,"1/ Dedicated slack workspace for the project (currently ""only"" channels within the CNCF slack workspace) from what I know. 2/ Platform and facilities for trying CNCF projects online without installation (ephemeral setup, restore from scratch every night, dedicated to quick evaluation based on projects user or getting started guide).",
A vendor of cloud technology,Istio Volcano,No,,Yes,kubernetes envoy,4,"CNCF is very slow on accepting projects, during this period it is very untranparent",3,"In my memory we donot receive much support like advocate, scholarships",5,,6,Just know this link,4,,8,,3,,Colocated event,Not yet,"A little too slow, a project can take more than half a year",NA,
A vendor of cloud technology,Kubewarden,No,,No,,5,"being in CNCF is low maintenance, and moderate gains",5,,8,,6,,4,,7,,N/A,,"Project Pavillion in Kubecon, artifacthub.io","Not applied, waiting for users willing to go public on usage.",It feels fair.,Documentation contributions for Sandbox projects,Waiting times for CNCF service desk tickets are quite long
A vendor of cloud technology,Karmada,No,,Yes,"Kubernetes, ArgoCD, Flux, Keyverno and so on",5,,5,,5,,Strongly agree,,Strongly agree,,5,,Strongly agree,,N/A,"Yes, we just moved the level to Incubation. The TOC member responded quickly. Thanks for that.",N/A,N/A,
A vendor of cloud technology,"KubeEdge, Volcano, Karmada,",Yes,,Yes,,6,"Sandbox review is slow, it usually takes 4-5 months to get project applications get reviewed by TOC.",8,,Strongly agree,,Strongly agree,,Strongly agree,,8,We have challenges tracking non-code contributors' contributions.,6,,"KubeCon Maintainer track talk opportunity, and project in-person kiosk.","No. There are lot of project graduation applications waiting for about 4 months already without any TOC responses.  And TOC availabilities are not visible. Besides project graduation queue, the annual review queue and sandbox application queue are also long.","The criteria are not clear, a lot of additional requirements, questions are raised during project due diligence.",NA,
An End User company (not involved in direct monetization of CNCF projects),Jaeger OpenTelemetry,No,,Yes,,8,"visibility, mentorship programs",7,,7,,8,,8,,7,,N/A,,"paid mentorship, KubeCon slots",graduated,n/a,project website,
A vendor of cloud technology,OpenCost,Yes,,Yes,"Backstage, Prometheus",9,,8,Looking forward to getting more resources once we get to Incubation,8,,8,,7,,8,,4,TOC sponsor has been unresponsive,"Project Pavilion Kiosk, webinar/recording opportunities","Yes, applied for Incubation but getting very little feedback and TOC Sponsor is unresponsive","They seem reasonable, just need feedback on moving the process forward",More hands-on assistance for progressing the project.,KubeCon Working Sessions weren't on the calendar and very hard to find
A vendor of cloud technology,open policy container (opcr),No,,Yes,"sigstore, opa, oras, oci",5,"It really depends on the kind of project and where it plays, anything infra, especially K8S related, yes, anything developer focussed not by default.",6,To me CNCF is a marketing/event organization more then an Open Source fostering ground,N/A,,N/A,No,N/A,"No, besides the degree of overhead and bureaucracy it seems to add",N/A,,N/A,"No, take OPA as an example, graduated single vendor project, not open to contribute in a meaningful way, no oversight committee",n/a,no,A considerable amount of ceremony,n/a,n/a
A vendor of cloud technology,Konveyor,Yes,,Yes,Kubernetes,9,"I'd recommend it for the projects in the cloud native space. Personally, I would like to stay within the CNCF eceosystem for all my needs as I know the projects are actively maintained and will support integrations within the ecosystem",Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,9,,N/A,,Kiosk at the projects pavilion,N/A. yet to apply for incubation,I havent looked into it yet.,Would be nice if Sandbox projects get a spot at KubeCon or a colo event. It will help with the adoption It would be nice if Sanbox projecst can submit to CNCF blog,
A vendor of cloud technology,NATS,No,,No,,4,"It has some early marketing appeal for new projects, but once that wears off, if you are not aligned with the money makers you are relegated to second class status pretty quick. Also for end users, CNCF landscape is simply confusing and not very helpful.",6,,8,"Unless its a sticky issue, then folks are very quiet and do not respond at all.",6,I probably need to look more into this for sure.,5,,8,,N/A,Not sure we have had to interact with anyone on that comittee.,They used to help a bit with Ci/CD costs but now we pay for it ourselves. They tried but the CC the CNCF used was not setup for repeat expenses so we got turned off at a critical point during a release.,We abandoned any effort to move levels after our last attempt.,"For graduation they may have changed, but when we were going through the process some seemed down right silly.","Better support on CI/CD costs and security audits. K8S gets the majority of $$ here, everyone else is a second class citizen, IMHO.",
Neither,"TUF, in-toto",Yes,,Yes,Almost all projects,Strongly agree,,9,,9,,7,,8,"The TOC is really slow at reviewing most things (like graduation, incubation, etc. proposals)",5,,4,,"Marketing, neutral home, conferences, swag",It's really slow. It took a long time and really doesn't seem to be because of actual due diligence.,Reasonable.,The documentation group isn't very effective. They're slow and not that valuable. It would be worth having a look at how to improve it,
A vendor of cloud technology,KubeVirt,No,,Yes,"Kubernetes, crio, prometheus, tekton",8,"Open, friendly, professional. Strict.",9,,Strongly agree,"Ye,s staff quickly reacts. it's mostly on use that we are not leveraging everything which is being offered",7,,7,,9,,7,,N/A,"We were not happy moving from Sandbox to Incubator. I think we were caught in a period of change, but it felt like chasing a moving goal post. We worry that the move to Graduated will be a similar experience.",N/A,Training on how to estbalish govenrnace models?,"Thanks, please be as supportive and open as you are."
A vendor of cloud technology,Metal3 and Cluster API provider OpenStack,No,,Yes,"Cert-manager, Cluster API, Kubernetes",8,,7,,4,,5,,5,,8,,4,,Netlify,It seems very slow to get response on the yearly evaluations.,They are good.,-,
Neither,external-secrets,No,,Yes,argocd,Strongly agree,,7,,8,,4,,3,,6,,N/A,,Community support,Fear we wonâ€™t have enough man power with the expectations of an incubated project; as no company really back us,"Too complex, needs a lot of stakeholder investment",None,
A vendor of cloud technology,Clusternet,No,,Yes,"Karmada, Open Cluster Management",9,"CNCF is a neutral and powerful place to host project, especially cloud native projects.",7,"Sometimes, it is hard to get connected.",8,It is easy to find them via slack. That's quite efficient.,7,Not really.,8,"Yeah, there are some public meetings, recodings and notes.",9,This helps show an overall velocity for every project. We could know where we are and what need to get improved.,6,The sandbox review is too slow. And the standard varies. I think the review process could be improved.,Show case in KubeCon.,"We've not yet applied to move levels. Our projects are not widely adopted, as the next level requires.",The requirements for moving to next levels are a little bit high. And the request and review procedures are lengthy. It does take quite a long time to finish the level-moving process.,Mentors that help grow the project.,
A vendor of cloud technology,CloudEvents,No,,No,,8,,Strongly agree,,Strongly agree,,Strongly agree,,8,I'm not sure what value they bring other than added layers of bureaucracy that just slow people down,N/A,,Strongly disagree,They're very slow to respond and appear to be more interested in maintaining the CNCF as a gatekeeper than in helping projects,"IT support (mailing lists, domain names, etc...)","Not really. It's way too slow and ambiguous. The process had minimal benefits for the project. For example, it identified some nice clean-up items that we've missed, but those are minor things. Most of the time was spend trying to deal with bureaucracy type of items - like justifying why we do things the way we do... not because they don't work, but because it's not what ""the one person who reviewed us"" thought it should be. Totally subjective and inconsequential to our value to the community - and shouldn't impact whether we graduate or not.","Too heavy weight. I'd prefer a more streamlined model... either you're a CNCF project or not. Mainly because even after a project is ""graduated"" then could immediate change and no longer meet the ambiguous graduation requirements and yet there's no way to un-graduate them. So it becomes meaningless. Just let a project in and then via things like dev-stats or other metrics let the community members decide if they want the project. Anointing a project via a ""graduation"" badge is just asking for games to be played and doesn't really provide the value to the community we think it does.",n/a,
A vendor of cloud technology,KubeArmor,No,,Yes,Cilium,Strongly agree,"Exposure to the project, best-practices, service-desk with benefits",8,,9,,Strongly agree,,9,,Strongly agree,,9,,"ZoomPro, Equinix bare-metal platform for testing, Security tools (synk, fossa)","Not applied, Not sure what is involved.",I think the velocity has increased.,none,
An End User company (not involved in direct monetization of CNCF projects),kube-rs,No,,Yes,,5,,N/A,,N/A,,7,,8,,2,clomonitor is largely wrong for our project. devstats harvests data behind our back and makes it a pain to opt-out,3,,being on github under cncf banner is honestly the biggest benefit. covering of CI + domain costs is also great.,"asked for it tentatively in the annual review, and the annual review kind of sat untouched for what felt like 4 months, so have not bothered to engage more (it's unclear if the increase in levels actually offers us anything of value except marginally more exposure)","ambivalent; requirements is a collection of good requirements plus a bunch of hidden requirements that's ""ultimately down to the TAG""",some kind of better cohesion documentation for the various tools and where certain tools or libs makes sense where.,more opt-in to changes rather than being force enrolled into things
A vendor of cloud technology,Cilium,No,,No,,8,,9,,6,,Strongly agree,,Strongly agree,,6,"DevStats has a lot of data, but no analysis. It's really hard to use.",6,,KubeCon,took a lot longer than expected,There is currently nothing for after graduation,nothing,
A vendor of cloud technology,Kyverno,No,,Yes,"Flux, Helm, Argo CD, others",8,The governance and resources they bring to bear definitely help move projects forward and increase adoption.,7,"In general, yes, but it'd be nice if the CNCF did an in-person/project follow-up to see what they could help us with rather than us going to them.",7,Responses are generally decent although there have been times where they get dropped.,7,,6,,6,,N/A,,Mentorships,Yes,Seems fair.,Technical consulting for scale and performance testing.,