"Do you think WASM is a fashionable technology, has niche application or long-term potential for the cloud-native market?",How do you feel about the following statement: WASM is an emerging disruptive technology. ,3: Which of the following languages or platforms -   that are partially or fully supported by WASM -   do you/your team use? Tick all that apply:,,,,,,,,,,,,,,,,,Are you/your team using WASM as part of your cloud native work?,"If you migrated an existing workload using WASM, how much would you say it increased performance?",What are the biggest barriers you face when using WASM or in wanting to use it?,,,,,,,Are you currently using any CNCF-hosted WASM projects?,"If you answered yes, please list the CNCF WASM projects you are using or plan to evaluate.",Are you/will you write new or port existing applications to WASM?,Are you/will you write client/browser or server-side applications?,,,Which applications or services are you/will you build using WASM? Tick all that apply:,,,,,,,,,,,What attracted you to WASM? Tick all that apply:,,,,,,What concerns do you have about WASM? Tick all that apply:,,,,,,,,,,,,,,,,What steps could the industry take to tackle these challenges? Tick all that apply:,,,,Where have you used Wasm as a plugin or for user-defined functions (UDFs)? Tick all that apply:,,,What type of content would best help you learn about WebAssembly? Tick all that apply:,,,,,,
Long-term potential,Agree,.Net,,C#,,,,,JavaScript,,,,,,,,,WebAssembly,No -   and no plans to,11% to 20%,,,Too much custom code required,Too difficult to set up development environment,,,Other:,No,,New,,,Both,Games development and/or services,,,,,Web development,Serverless,,,,,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,,Sandboxed security,,Other - enter feedback here,,Developer tools are incomplete or too hard to use,,,Too much custom code required to make WASM work as expected,,,,,,,,,,,,,,More mature tools and projects,"Availability of guides, information and blueprints",,,,Online Training,,Written tutorials and articles,Examples,,,
Long-term potential,Strongly agree,.Net,C,C#,C++,,,,JavaScript,,,,,,,Rust,TypeScript,,No -   but plan to within six to 12 months,0 to 10%,,Tools do not exist,,Too difficult to set up development environment,,,,No,,New,,,Both,,,,,,Web development,Serverless,IoT,,,,,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,,,,Developer tools are incomplete or too hard to use,Absence of or only partial support for the languages I/we employ,,,,,,,,,,,,,,,,More mature tools and projects,"Availability of guides, information and blueprints",,,,,,Written tutorials and articles,Examples,,,
Long-term potential,Agree,,,,,,,Java,JavaScript,,,,,,,,TypeScript,,,,,,,,,,Other:,No,,,,,,,,,,,,,,,,,,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,,,,,,,,,,,,,,,,,,,,,,,,,,,Written tutorials and articles,,,,
Long-term potential,Strongly agree,.Net,,C#,,,,,JavaScript,,,,,,,Rust,TypeScript,,No -   but plan to within six to 12 months,More than 20%,,,,,,Lack of clear standards,,We are in the process of evaluating,,New,,Server-side,,,,,,,,Serverless,,,Edge,,Developer productivity -   ability to re-use existing language skills and knowledge,,,Sandboxed security,,,Slow evolution of W3C standards,,,,,Not enough non-browser APIs,,,,,,,,,,,,,More mature tools and projects,,Envoy / Istio,,,,,,Examples,,,
Long-term potential,Agree,,,C#,,,,,,,,,,,,Rust,,,No -   but plan to within six to 12 months,11% to 20%,,,,Too difficult to set up development environment,Lack of clear use cases,Lack of clear standards,,We are in the process of evaluating,,Both,,,Both,,Audio/video development and/or services,,,Encryption,,Serverless,,,Edge,,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,,Slow evolution of W3C standards,Developer tools are incomplete or too hard to use,,Skills/training -   need to switch to a language that fully works with WASM,,,Lack of a clear use case for WASM,,,,,,,,,,Reference frameworks,Certification and training,More mature tools and projects,"Availability of guides, information and blueprints",,,,Online Training,In-person Training,Written tutorials and articles,Examples,Long-form (>5 minutes) videos,Short-form (<5 minutes) videos,Webinars
Long-term potential,Strongly agree,,,,C++,,,,JavaScript,,,,,,,,TypeScript,WebAssembly,No -   and no plans to,,,,,,,,,No,,Port existing,Client/browser,,,,,Design or graphics tools,,,,,,,,,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term potential,Agree,,C,,,,,,JavaScript,,,,,,,,TypeScript,WebAssembly,No -   but plan to within six to 12 months,,,Tools do not exist,,,,Lack of clear standards,,No,,Both,,,Both,,,,,,Web development,Serverless,,,Edge,,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,,,Slow evolution of W3C standards,Developer tools are incomplete or too hard to use,,,Too much custom code required to make WASM work as expected,,,,,,,,,,,,,,More mature tools and projects,,,,,,,Written tutorials and articles,Examples,,Short-form (<5 minutes) videos,Webinars
Niche,Disagree,.Net,,,,,,,,,,,,,,,,,Yes,0 to 10%,,Tools do not exist,,,,Lack of clear standards,,No,,New,,,Both,,,Design or graphics tools,Image recognition,,,,,AI,Edge,,,Native performance of code/applications,"With write once, run anywhere application portability",,Standards-based for zero lock in,Other - enter feedback here,Slow evolution of W3C standards,Developer tools are incomplete or too hard to use,,,,,,,,,,,,,,,,,More mature tools and projects,"Availability of guides, information and blueprints",Envoy / Istio,,,,,Written tutorials and articles,Examples,Long-form (>5 minutes) videos,,
Long-term potential,Strongly agree,,,,,,,,,,,,,,,Rust,,,No -   but plan to within six months,11% to 20%,,Tools do not exist,,,,,,No,,Both,,,Both,,,,,,,Serverless,,,,,,Native performance of code/applications,,Sandboxed security,,,,Developer tools are incomplete or too hard to use,Absence of or only partial support for the languages I/we employ,Skills/training -   need to switch to a language that fully works with WASM,,,,,,,,,,,,,,,More mature tools and projects,,,,,Online Training,,,,,,
Fashionable,Neutral,,C,C#,C++,,Go,Java,JavaScript,,,,PHP,,,,TypeScript,WebAssembly,No -   and no plans to,,,,,,Lack of clear use cases,,,No,,Port existing,Client/browser,,,,Audio/video development and/or services,Design or graphics tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashionable,Disagree,,,,,,Go,,,,,,,Python,,,,,No -   and no plans to,,,,,,,,Other:,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of a clear use case for WASM,,,,,,,,,,,,,,,,,,,,,,,
Long-term potential,Disagree,.Net,,C#,C++,,Go,,,,,,,Python,,Rust,TypeScript,WebAssembly,Yes,More than 20%,Lack of skills to do it,,,,,,Other:,No,,New,,Server-side,,,,,,,Web development,Serverless,IoT,,Edge,Other -   please specify,,,"With write once, run anywhere application portability",Sandboxed security,,,,Developer tools are incomplete or too hard to use,Absence of or only partial support for the languages I/we employ,,,Not enough non-browser APIs,,,,,,,,,,,,,More mature tools and projects,"Availability of guides, information and blueprints",,,Other - please specify,,,Written tutorials and articles,Examples,,Short-form (<5 minutes) videos,
Long-term potential,Agree,,,,,,,,,,,,PHP,,,,,,No -   and no plans to,,Lack of skills to do it,,,,Lack of clear use cases,,,No,,,,,,,,,,,,,,,,,,Native performance of code/applications,"With write once, run anywhere application portability",,,,,Developer tools are incomplete or too hard to use,,,,,,,,,,,,,,,,,More mature tools and projects,"Availability of guides, information and blueprints",,,,Online Training,,Written tutorials and articles,Examples,Long-form (>5 minutes) videos,,
Long-term potential,Strongly agree,,C,,,,,,,,,,,,,Rust,,,Yes,More than 50%,,Tools do not exist,Too much custom code required,,,Lack of clear standards,,No,,Both,,,Both,Games development and/or services,Audio/video development and/or services,,Image recognition,,Web development,Serverless,IoT,AI,Edge,,,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,,,Developer tools are incomplete or too hard to use,Absence of or only partial support for the languages I/we employ,Skills/training -   need to switch to a language that fully works with WASM,Too much custom code required to make WASM work as expected,Not enough non-browser APIs,,,,,,,,,,,,,More mature tools and projects,"Availability of guides, information and blueprints",,,Other - please specify,,,Written tutorials and articles,Examples,,,
Long-term potential,Agree,,,,,,Go,,JavaScript,,,,,,,Rust,TypeScript,WebAssembly,No -   but plan to within six to 12 months,,,Tools do not exist,,,,Lack of clear standards,,We are in the process of evaluating,Wasmcloud,Both,,Server-side,,,,,,,,,,,Edge,,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,,Slow evolution of W3C standards,Developer tools are incomplete or too hard to use,,,,Not enough non-browser APIs,,,,,,,,,,,,,More mature tools and projects,"Availability of guides, information and blueprints",,,,Online Training,,Written tutorials and articles,,,,Webinars
Long-term potential,Agree,.Net,C,,C++,,Go,Java,JavaScript,,,,,Python,,Rust,TypeScript,WebAssembly,No -   but plan to within six to 12 months,More than 20%,Lack of skills to do it,Tools do not exist,,,,,Other:,We are in the process of evaluating,,Both,,,Both,,,,,,Web development,Serverless,,AI,Edge,,,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,,,,,Absence of or only partial support for the languages I/we employ,Skills/training -   need to switch to a language that fully works with WASM,,,,,,,Too many tools -   uncertainty on which to pick and which will continue development,,,,,,Reference frameworks,,More mature tools and projects,"Availability of guides, information and blueprints",Envoy / Istio,,,,,Written tutorials and articles,Examples,,,
Long-term potential,Strongly agree,.Net,C,C#,C++,,,,JavaScript,,,,,Python,,,TypeScript,WebAssembly,No -   but plan to within six to 12 months,,,Tools do not exist,Too much custom code required,,,,Other:,No,,Both,,,Both,,,,,,,,IoT,,Edge,Other -   please specify,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,,Other - enter feedback here,Slow evolution of W3C standards,,Absence of or only partial support for the languages I/we employ,,Too much custom code required to make WASM work as expected,Not enough non-browser APIs,,,,Lack of consistent developer experience between runtimes,,,,,,,Reference frameworks,,More mature tools and projects,,,,Other - please specify,,,Written tutorials and articles,Examples,Long-form (>5 minutes) videos,,
Long-term potential,Strongly agree,.Net,,C#,,,Go,Java,JavaScript,,,,,Python,,,TypeScript,,No -   but plan to within six to 12 months,,,,,,,Lack of clear standards,,No,,Both,,,Both,,,,,,Web development,Serverless,,,,,,,,Sandboxed security,Standards-based for zero lock in,,,,Absence of or only partial support for the languages I/we employ,,,Not enough non-browser APIs,,,,,Too many tools -   uncertainty on which to pick and which will continue development,,,,,,,,More mature tools and projects,"Availability of guides, information and blueprints",,,,,,Written tutorials and articles,,,,
Niche,Neutral,,,,,,,,,,,,,,,Rust,,,No -   and no plans to,11% to 20%,,,,,Lack of clear use cases,Lack of clear standards,,No,,New,,Server-side,,,,,,,,Serverless,,,Edge,,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,,,,,,,,Lack of a clear use case for WASM,,Different performance between runtimes,Lack of consistent developer experience between runtimes,Too many tools -   uncertainty on which to pick and which will continue development,,,,,,Reference frameworks,Certification and training,More mature tools and projects,"Availability of guides, information and blueprints",Envoy / Istio,,,,In-person Training,Written tutorials and articles,Examples,,Short-form (<5 minutes) videos,
Long-term potential,Strongly agree,,,C#,,COBOL,Go,Java,JavaScript,,,,,Python,Ruby,Rust,TypeScript,,No -   but plan to within six months,0 to 10%,Lack of skills to do it,,,,,,,No,,New,,,Both,,,,,,,Serverless,,,,,,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,,Slow evolution of W3C standards,Developer tools are incomplete or too hard to use,,,,,,,,Lack of consistent developer experience between runtimes,Too many tools -   uncertainty on which to pick and which will continue development,,,,,,Reference frameworks,,More mature tools and projects,"Availability of guides, information and blueprints",Envoy / Istio,,,,,Written tutorials and articles,Examples,,,
Long-term potential,Agree,,,,,,,,,,,,,,,Rust,,,No -   but plan to within six to 12 months,0 to 10%,,,,Too difficult to set up development environment,,,,No,,New,,Server-side,,,,,,,Web development,Serverless,,,Edge,,,,"With write once, run anywhere application portability",Sandboxed security,,,Slow evolution of W3C standards,Developer tools are incomplete or too hard to use,,,Too much custom code required to make WASM work as expected,,,,,,,,,,,,Reference frameworks,,,,Envoy / Istio,,,,,Written tutorials and articles,,,,
Fashionable,Agree,,,,C++,,Go,,,,,,,,,Rust,TypeScript,,No -   but plan to within six to 12 months,0 to 10%,,Tools do not exist,Too much custom code required,Too difficult to set up development environment,,,,No,,Port existing,,,Both,,,,,,Web development,Serverless,,,Edge,,,,,Sandboxed security,Standards-based for zero lock in,,Slow evolution of W3C standards,,,,,,Lack of a clear use case for WASM,,,,,,,,,,Reference frameworks,,,,Envoy / Istio,,Other - please specify,Online Training,,Written tutorials and articles,Examples,,,
Long-term potential,Strongly agree,,,,,,Go,,,,,,,,,Rust,,WebAssembly,No -   but plan to within six to 12 months,More than 50%,,Tools do not exist,Too much custom code required,Too difficult to set up development environment,,Lack of clear standards,,No,,Both,,,Both,,Audio/video development and/or services,,,,,Serverless,,,Edge,,Developer productivity -   ability to re-use existing language skills and knowledge,,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,,,Developer tools are incomplete or too hard to use,,,,Not enough non-browser APIs,,,,Lack of consistent developer experience between runtimes,Too many tools -   uncertainty on which to pick and which will continue development,,,,,,Reference frameworks,,More mature tools and projects,,,,,Online Training,,Written tutorials and articles,Examples,,,Webinars
Long-term potential,Strongly agree,.Net,,C#,,,,Java,,,,,,,,,,WebAssembly,No -   and no plans to,More than 20%,Lack of skills to do it,Tools do not exist,,Too difficult to set up development environment,Lack of clear use cases,Lack of clear standards,,No,,Both,,,Both,,Audio/video development and/or services,,,,Web development,Serverless,,,Edge,Other -   please specify,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,Other - enter feedback here,Slow evolution of W3C standards,Developer tools are incomplete or too hard to use,Absence of or only partial support for the languages I/we employ,Skills/training -   need to switch to a language that fully works with WASM,,,Lack of a clear use case for WASM,Inability of existing security tools to see what’s happening inside WASM runtime,Different performance between runtimes,Lack of consistent developer experience between runtimes,,,,,,,Reference frameworks,Certification and training,More mature tools and projects,"Availability of guides, information and blueprints",Envoy / Istio,,,Online Training,In-person Training,Written tutorials and articles,Examples,,Short-form (<5 minutes) videos,Webinars
Fashionable,Disagree,,C,,C++,,Go,Java,JavaScript,,,,,Python,,,TypeScript,,No -   and no plans to,0 to 10%,,,Too much custom code required,,,,Other:,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Too much custom code required to make WASM work as expected,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term potential,Agree,,C,,C++,,Go,,JavaScript,,,,,Python,,Rust,TypeScript,WebAssembly,Yes,,,Tools do not exist,Too much custom code required,,,,,No,,New,Client/browser,,,Games development and/or services,,,,Encryption,,,,,,,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,,,,,Slow evolution of W3C standards,Developer tools are incomplete or too hard to use,,,Too much custom code required to make WASM work as expected,,,,,,,,,,,,Reference frameworks,,More mature tools and projects,"Availability of guides, information and blueprints",,,,,,Written tutorials and articles,Examples,Long-form (>5 minutes) videos,Short-form (<5 minutes) videos,
Long-term potential,Agree,,C,,,,Go,,,,,,,,,,,WebAssembly,Yes,More than 50%,,,,,,,,Yes,OPA,Both,,Server-side,,,,,,,,Serverless,,,,,,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,,,Developer tools are incomplete or too hard to use,,,Too much custom code required to make WASM work as expected,,,Inability of existing security tools to see what’s happening inside WASM runtime,,Lack of consistent developer experience between runtimes,,,,,,,,,More mature tools and projects,,Envoy / Istio,,,,,,Examples,,,
Long-term potential,Disagree,,,,,,,,,,,,,,,Rust,,WebAssembly,No -   but plan to within six months,More than 20%,,,,,Lack of clear use cases,,,We are in the process of evaluating,,New,,,Both,,,,,,Web development,Serverless,,,,,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,Standards-based for zero lock in,,Slow evolution of W3C standards,,,,Too much custom code required to make WASM work as expected,Not enough non-browser APIs,Lack of a clear use case for WASM,,,Lack of consistent developer experience between runtimes,,,,,,,,,More mature tools and projects,"Availability of guides, information and blueprints",,,Other - please specify,Online Training,,Written tutorials and articles,Examples,Long-form (>5 minutes) videos,Short-form (<5 minutes) videos,
Niche,Disagree,,C,,,,,,,,,,,,,,TypeScript,,No -   and no plans to,11% to 20%,,Tools do not exist,Too much custom code required,,Lack of clear use cases,Lack of clear standards,,We are in the process of evaluating,,New,,,Both,Games development and/or services,,Design or graphics tools,,,Web development,,,,,,,Native performance of code/applications,,,,,Slow evolution of W3C standards,Developer tools are incomplete or too hard to use,Absence of or only partial support for the languages I/we employ,,,,Lack of a clear use case for WASM,,,Lack of consistent developer experience between runtimes,,,,,,,,,,,,,,,,,Examples,,,
Long-term potential,Neutral,,,,,,,,,,,,,Python,,Rust,,,No -   and no plans to,0 to 10%,,,,,,Lack of clear standards,,No,,Both,,,Both,,,,,,,,,,,,,,"With write once, run anywhere application portability",Sandboxed security,,,,,,,,,,,,,,,,,,,Reference frameworks,,More mature tools and projects,,,,,,,,Examples,,,
Long-term potential,Strongly agree,,,,,,Go,Java,,,,,,,,Rust,TypeScript,WebAssembly,No -   but plan to within six to 12 months,0 to 10%,,Tools do not exist,Too much custom code required,,,Lack of clear standards,,Yes,"WasmEdge, WasmCloud",Both,,Server-side,,,,,,,,Serverless,IoT,,Edge,Other -   please specify,Developer productivity -   ability to re-use existing language skills and knowledge,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,,,Slow evolution of W3C standards,Developer tools are incomplete or too hard to use,,,,Not enough non-browser APIs,,Inability of existing security tools to see what’s happening inside WASM runtime,Different performance between runtimes,Lack of consistent developer experience between runtimes,Too many tools -   uncertainty on which to pick and which will continue development,,,,,,Reference frameworks,,More mature tools and projects,,,,,,,Written tutorials and articles,Examples,,,
Niche,Neutral,,,,,,,Java,JavaScript,,,,,,,,TypeScript,,No -   and no plans to,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term potential,Strongly agree,,,,,,,,,,,,,,,Rust,,,Yes,More than 50%,Lack of skills to do it,,,Too difficult to set up development environment,,,,Yes,"WasmEdge, Krustlet",Both,,Server-side,,,Audio/video development and/or services,,Image recognition,Encryption,,Serverless,,AI,,,,Native performance of code/applications,"With write once, run anywhere application portability",Sandboxed security,,,,Developer tools are incomplete or too hard to use,,,Too much custom code required to make WASM work as expected,,,,,,,,,,,,,,More mature tools and projects,"Availability of guides, information and blueprints",Envoy / Istio,,,,,Written tutorials and articles,,Long-form (>5 minutes) videos,,
Fashionable,Neutral,,,,C++,,Go,,,,,,,,,Rust,,,No -   and no plans to,11% to 20%,,Tools do not exist,Too much custom code required,Too difficult to set up development environment,Lack of clear use cases,,,We are in the process of evaluating,,Port existing,,,Both,,Audio/video development and/or services,,,,,,,,,,Developer productivity -   ability to re-use existing language skills and knowledge,,,,,,,Developer tools are incomplete or too hard to use,,,,,,,,,,,,,,,,,More mature tools and projects,,,Kubewarden,,Online Training,In-person Training,,,,,
